,economy,time,NY.GDP.MKTP.CD
687,CSS,YR2015,75480329446.9463
688,CSS,YR2016,70977854236.847
689,CSS,YR2017,73482494257.1029
690,CSS,YR2018,76247249561.2981
691,CSS,YR2019,77282796215.9198
692,CUB,YR2006,48835925925.9259
693,CUB,YR2007,54262870370.3704
694,CUB,YR2008,56302129629.6296
695,CUB,YR2009,57481481481.4815
696,CUB,YR2010,59562962962.963
697,CUB,YR2011,68990000000.0
698,CUB,YR2012,73141000000.0
699,CUB,YR2013,77148000000.0
700,CUB,YR2014,80656000000.0
701,CUB,YR2015,87133000000.0
702,CUB,YR2016,91370000000.0
703,CUB,YR2017,96851000000.0
704,CUB,YR2018,100050000000.0
705,CUB,YR2019,103428000000.0
706,CUW,YR2011,2933128491.62011
707,CUW,YR2012,3024525139.6648
708,CUW,YR2013,3039944134.07821
709,CUW,YR2014,3048435754.18994
710,CUW,YR2015,3042737430.1676
711,CUW,YR2016,3014748603.35196
712,CUW,YR2017,3009497206.70391
713,CUW,YR2018,3020388826.81564
714,CUW,YR2019,2995185474.86034
715,CYM,YR2006,4200288282.10157
716,CYM,YR2007,4466278030.59167
717,CYM,YR2008,4585948969.33223
718,CYM,YR2009,4281714618.03238
719,CYM,YR2010,4156841163.77763
720,CYM,YR2011,4186073160.18253
721,CYM,YR2012,4291004485.56803
722,CYM,YR2013,4405796081.15984
723,CYM,YR2014,4562853582.32463
724,CYM,YR2015,4708167255.28727
725,CYM,YR2016,4909322200.00212
726,CYM,YR2017,5166281293.18715
727,CYM,YR2018,5530178498.90783
728,CYM,YR2019,5941896599.57333
729,CYP,YR2006,20072786350.5206
730,CYP,YR2007,23968764029.5647
731,CYP,YR2008,27844698989.3072
732,CYP,YR2009,25945391775.4932
733,CYP,YR2010,25799940416.0173
734,CYP,YR2011,27641551809.0956
735,CYP,YR2012,25047433099.5891
736,CYP,YR2013,23959708956.2928
737,CYP,YR2014,23225912183.4988
738,CYP,YR2015,19909269064.8473
739,CYP,YR2016,21046452117.3765
740,CYP,YR2017,22946583375.5508
741,CYP,YR2018,25597301190.678
742,CYP,YR2019,25945194240.4544
743,CZE,YR2006,156264210926.177
744,CZE,YR2007,190184113270.15
745,CZE,YR2008,236816948159.718
746,CZE,YR2009,207434296805.33
